state_data.timeStamp_state,has_state_data,state_data.state_x,state_data.state_vx,state_data.state_ax,state_data.state_apo
195397420,1,1077.73,281.765,-43.4706,4256.59
195402635,1,1062.82,273.811,-43.0681,4101.18
195407850,1,1048.81,266.27,-42.5443,3953.76
195413065,1,1035.88,259.149,-42.1592,3814.79
195420077,1,1028.41,250.407,-41.1034,3684.42
195425078,1,1015.63,242.84099999999998,-40.1657,3534.94
195430146,1,1003.52,235.8,-37.8841,3400.52
195435362,1,992.1560000000001,229.048,-36.0696,3276.55
195440607,1,981.6039999999999,222.72299999999998,-35.029,3159.29
195445815,1,972.6619999999999,216.93099999999998,-34.2446,3050.8
195451007,1,965.345,211.76,-32.8967,2953.3
195456222,1,961.063,207.25599999999997,-31.988000000000003,2867.73
195462845,1,962.212,202.487,-31.433000000000003,2796.04
195468703,1,964.672,198.65,-30.4959,2726.63
195473930,1,973.12,196.653,-29.2095,2672.96
195479146,1,986.847,195.80700000000002,-28.4241,2652.65
195484365,1,1003.09,195.47099999999998,-28.1259,2654.42
195491185,1,1023.74,195.21,-27.8053,2666.17
195496413,1,1041.52,195.424,-27.4228,2683.54
195504007,1,1063.71,195.482,-26.8809,2704.86
195509251,1,1081.49,196.14,-26.3153,2728.44
195514445,1,1099.32,196.829,-25.8632,2756.23
195519663,1,1117.57,197.49099999999999,-25.5391,2784.54
195524882,1,1136.05,198.16400000000002,-24.8907,2812.89
195530126,1,1154.69,198.834,-24.3413,2841.6
195535788,1,1174.28,199.447,-23.9349,2870.61
195542323,1,1195.8,200.06099999999998,-23.3846,2899.74
195547325,1,1214.61,201.02599999999998,-22.9137,2930.86
195552374,1,1233.51,201.929,-22.64,2964.38
195557593,1,1252.93,202.755,-22.3187,2997.05
195562842,1,1272.41,203.532,-22.1292,3029.32
195568030,1,1291.77,204.283,-21.9214,3060.92
195573248,1,1311.4,204.968,-21.7443,3092.01
195578465,1,1331.07,205.61,-21.5543,3122.38
195585081,1,1353.78,206.197,-21.4403,3152.11
195590332,1,1373.71,207.03900000000002,-21.3481,3184.32
195595525,1,1393.47,207.83599999999998,-21.2544,3217.53
195600744,1,1413.48,208.555,-21.1926,3249.88
195605961,1,1433.57,209.229,-21.1685,3281.3
195611206,1,1453.67,209.847,-21.1488,3312.03
195616399,1,1473.57,210.425,-20.9943,3342.17
195623404,1,1497.42,210.937,-20.9868,3371.5
195628405,1,1517.26,211.81400000000002,-21.0416,3403.89
195633462,1,1537.13,212.613,-20.9144,3437.72
195638680,1,1557.43,213.30599999999998,-20.9502,3470.37
195643931,1,1577.75,213.94299999999998,-20.8183,3501.83
195649165,1,1598.11,214.53400000000002,-20.7353,3532.62
195654396,1,1618.49,215.074,-20.7937,3562.76
195659613,1,1638.84,215.55200000000002,-20.7665,3592.13
195666165,1,1662.04,215.963,-20.8107,3620.5
195671419,1,1682.53,216.6,-20.7668,3650.81
195676613,1,1702.86,217.19799999999998,-20.7801,3681.8
195681833,1,1723.36,217.709,-20.8497,3712.01
195687051,1,1743.84,218.162,-20.8746,3741.18
195692294,1,1764.37,218.572,-20.8094,3769.42
195697487,1,1784.69,218.95,-20.7853,3797.06
