rocketState_data.timeStamp_RS,has_rocketState_data,rocketState_data.rocketState0,rocketState_data.rocketState1,rocketState_data.rocketState2,rocketState_data.rocketState3
195424695,1,6,6,6,6
195427304,1,6,6,6,6
195429913,1,6,6,6,6
195432522,1,6,6,6,6
195435131,1,6,6,6,6
195437740,1,6,6,6,6
195440349,1,6,6,6,6
195442958,1,6,6,6,6
195445567,1,6,6,6,6
195448176,1,6,6,6,6
195450785,1,6,6,6,6
195453394,1,6,6,6,6
195456003,1,6,6,6,6
195458612,1,6,6,6,6
195462637,1,6,6,6,6
195465246,1,6,6,6,6
195468496,1,6,6,6,6
195469097,1,6,6,6,6
195471309,1,6,6,6,6
195473859,1,6,6,6,6
195476466,1,6,6,6,6
195479057,1,6,6,6,6
195481544,1,6,6,6,6
195484153,1,6,6,6,6
195486762,1,6,6,6,6
195490984,1,6,6,6,6
195493593,1,6,6,6,6
195496202,1,6,6,6,6
195498811,1,6,6,6,6
195503795,1,6,6,6,6
195504396,1,6,6,6,6
195506607,1,6,6,6,6
195509215,1,6,6,6,6
195511827,1,6,6,6,6
195514435,1,6,6,6,6
195517044,1,6,6,6,6
195519592,1,6,6,6,6
195522183,1,6,6,6,6
195524670,1,6,6,6,6
195527279,1,6,6,6,6
195529888,1,6,6,6,6
195532497,1,6,6,6,6
195535575,1,6,6,6,6
195537991,1,6,6,6,6
195540407,1,6,6,6,6
195544333,1,6,6,6,6
195546942,1,6,6,6,6
195549551,1,6,6,6,6
195552160,1,6,6,6,6
195554769,1,6,6,6,6
195557378,1,6,6,6,6
195559987,1,6,6,6,6
195562596,1,6,6,6,6
195565205,1,6,6,6,6
195567814,1,6,6,6,6
195570423,1,6,6,6,6
195573032,1,6,6,6,6
195575641,1,6,6,6,6
195578250,1,6,6,6,6
195580859,1,6,6,6,6
195584872,1,6,6,6,6
195587481,1,6,6,6,6
195590090,1,6,6,6,6
195592699,1,6,6,6,6
195595308,1,6,6,6,6
195597917,1,6,6,6,6
195600526,1,6,6,6,6
195603135,1,6,6,6,6
195605744,1,6,6,6,6
195608353,1,6,6,6,6
195610962,1,6,6,6,6
195613571,1,6,6,6,6
195616180,1,6,6,6,6
195618789,1,6,6,6,6
195621398,1,6,6,6,6
195625413,1,6,6,6,6
195626014,1,6,6,6,6
195628232,1,6,6,6,6
195630782,1,6,6,6,6
195633391,1,6,6,6,6
195635983,1,6,6,6,6
195638592,1,6,6,6,6
195641203,1,6,6,6,6
195643811,1,6,6,6,6
195646863,1,6,6,6,6
195648953,1,6,6,6,6
195649554,1,6,6,6,6
195651800,1,6,6,6,6
195654386,1,6,6,6,6
195656994,1,6,6,6,6
195659603,1,6,6,6,6
195662213,1,6,6,6,6
195666104,1,6,6,6,6
195668696,1,6,6,6,6
195671305,1,6,6,6,6
195673782,1,6,6,6,6
195676391,1,6,6,6,6
195679000,1,6,6,6,6
195681609,1,6,6,6,6
195684218,1,6,6,6,6
195686827,1,6,6,6,6
195689436,1,6,6,6,6
195692045,1,6,6,6,6
195694654,1,6,6,6,6
195697263,1,6,6,6,6
195699872,1,6,6,6,6
195702481,1,6,6,6,6
195706502,1,6,6,6,6
195709111,1,6,6,6,6
195711720,1,6,6,6,6
195714329,1,6,6,6,6
195716938,1,6,6,6,6
195719547,1,6,6,6,6
195722156,1,6,6,6,6
195724765,1,6,6,6,6
195727374,1,6,6,6,6
195729983,1,6,6,6,6
195732592,1,6,6,6,6
195735201,1,6,6,6,6
195737810,1,6,6,6,6
195740419,1,6,6,6,6
195743028,1,6,6,6,6
195747051,1,6,6,6,6
195749660,1,6,6,6,6
195752269,1,6,6,6,6
195754878,1,6,6,6,6
195757487,1,6,6,6,6
195760178,1,6,6,6,6
195760779,1,6,6,6,6
195763002,1,6,6,6,6
195765610,1,6,6,6,6
195768219,1,6,6,6,6
195770767,1,6,6,6,6
195773358,1,6,6,6,6
195775835,1,6,6,6,6
195778444,1,6,6,6,6
195781053,1,6,6,6,6
195783662,1,6,6,6,6
195787681,1,6,6,6,6
195788282,1,6,6,6,6
195790501,1,6,6,6,6
195793049,1,6,6,6,6
195795641,1,6,6,6,6
195798120,1,6,6,6,6
195800729,1,6,6,6,6
195803338,1,6,6,6,6
195805947,1,6,6,6,6
195808556,1,6,6,6,6
195811165,1,6,6,6,6
195813774,1,6,6,6,6
195816383,1,6,6,6,6
195818992,1,6,6,6,6
195821601,1,6,6,6,6
195824210,1,6,6,6,6
195828226,1,6,6,6,6
195830835,1,6,6,6,6
195833444,1,6,6,6,6
195836053,1,6,6,6,6
195838662,1,6,6,6,6
195841271,1,6,6,6,6
195843880,1,6,6,6,6
195846489,1,6,6,6,6
195849098,1,6,6,6,6
195851707,1,6,6,6,6
195854316,1,6,6,6,6
195856925,1,6,6,6,6
195859534,1,6,6,6,6
195862143,1,6,6,6,6
195864752,1,6,6,6,6
195868765,1,6,6,6,6
195869366,1,6,6,6,6
195871579,1,6,6,6,6
195874562,1,6,6,6,6
195877153,1,6,6,6,6
195879638,1,6,6,6,6
195882247,1,6,6,7,6
195884856,1,6,6,6,6
195887465,1,6,6,6,6
195890074,1,6,6,6,6
195892683,1,6,6,6,6
195895292,1,6,6,6,6
195897901,1,6,6,6,6
195900510,1,6,6,6,6
195903119,1,6,6,6,6
195905728,1,6,6,6,6
195909728,1,6,6,6,6
195910329,1,6,6,6,6
195912539,1,6,6,6,6
195915089,1,6,6,6,6
195917698,1,6,6,6,6
195920289,1,6,6,6,6
195922898,1,6,6,6,6
195925384,1,6,6,6,6
195927993,1,6,6,6,6
195930602,1,6,6,6,6
195933211,1,6,6,6,6
195935820,1,6,6,6,6
195938429,1,6,6,6,6
195941038,1,6,6,6,6
195943647,1,6,6,6,6
195946256,1,6,6,6,6
195950265,1,6,6,6,6
195950866,1,6,6,6,6
195953076,1,6,6,6,6
195955626,1,6,6,6,6
195958217,1,6,6,6,6
195960704,1,6,6,6,6
195963313,1,6,6,6,6
195965922,1,6,6,6,6
195968531,1,6,6,6,6
195971140,1,6,6,6,6
195973749,1,6,6,6,6
195976358,1,6,6,6,6
195978967,1,6,6,6,6
195981576,1,6,6,6,6
195984185,1,6,6,6,6
195986794,1,6,6,6,6
195990803,1,6,6,6,6
195991404,1,6,6,6,6
195993613,1,6,6,6,6
195996873,1,6,6,6,6
195999482,1,6,6,6,6
196002092,1,6,6,6,6
196004700,1,6,6,6,6
196007249,1,6,6,6,6
196009857,1,6,6,6,6
196012448,1,6,6,6,6
196014937,1,6,6,6,6
196017546,1,6,6,6,6
196020155,1,6,6,6,6
196022764,1,6,6,6,6
196025373,1,6,6,6,6
196027982,1,6,6,6,6
196031980,1,6,6,6,6
196034589,1,6,6,6,6
196037198,1,6,6,6,6
196039807,1,6,6,6,6
196042416,1,6,6,6,6
196045025,1,6,6,6,6
196047634,1,6,6,6,6
196050243,1,6,6,6,6
196052852,1,6,6,6,6
196055461,1,6,6,6,6
196058070,1,6,6,6,6
196060679,1,6,6,6,6
196063288,1,6,6,6,6
196065897,1,6,6,6,6
196068506,1,6,6,6,6
196072512,1,6,6,6,6
196073113,1,6,6,6,6
196075322,1,6,6,6,6
196077871,1,6,6,6,6
196080462,1,6,6,6,6
196082951,1,6,6,6,6
196085560,1,6,6,6,6
196088169,1,6,6,6,6
196090778,1,6,6,6,6
196093387,1,6,6,6,6
196095996,1,6,6,6,6
196098605,1,6,6,6,6
196101214,1,6,6,6,6
196103823,1,6,6,6,6
196106432,1,6,6,6,6
196109041,1,6,6,6,6
196113048,1,6,6,6,6
196113649,1,6,6,6,6
196116316,1,6,6,6,6
196118865,1,6,6,6,6
196121473,1,6,6,6,6
196124064,1,6,6,6,6
196126553,1,6,6,6,6
196129162,1,6,6,6,6
196131771,1,6,6,6,6
196134380,1,6,6,6,6
196136989,1,6,6,6,6
196139598,1,6,6,6,6
196142207,1,6,6,6,6
196144816,1,6,6,6,6
196147425,1,6,6,6,6
196150034,1,6,6,6,6
196154031,1,6,6,6,6
196156640,1,6,6,6,6
196159249,1,6,6,6,6
196161858,1,6,6,6,6
196164467,1,6,6,6,6
196167076,1,6,6,6,6
196169685,1,6,6,6,6
196172294,1,6,6,6,6
196174903,1,6,6,6,6
196177512,1,6,6,6,6
196180121,1,6,6,6,6
196182730,1,6,6,6,6
196185339,1,6,6,6,6
196187948,1,6,6,6,6
196190557,1,6,6,6,6
196194565,1,6,6,6,6
196197174,1,6,6,6,6
196199784,1,6,6,6,6
196202393,1,6,6,6,6
196205002,1,6,6,6,6
196207611,1,6,6,6,6
