Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-25-44-461,-0.52,1.08,-0.48,0.17,0.11,-0.25,0.03,-0.07,1.03,41.49,-89.5,182491,0,0,0,0,0.11,0.08,1.07,22,206.13,NO SIGN,1,-45,7.72,434,0
2022-5-7--11-25-44-891,-0.5,1.06,-0.41,0.81,1.4,-1.25,0.06,-0.05,1.02,41.49,-89.5,183666,0,0,0,0,0.11,0.07,1.08,22,206.13,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-25-45-321,-0.56,1.06,-0.45,0.94,1.61,-0.82,0.06,-0.08,1.02,41.49,-89.5,184514,0,0,0,0,0.1,0.08,1.07,22,206.39,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-25-45-750,-0.5,1.14,-0.53,1.28,-0.1,-1.3,-0.02,-0.06,1.02,41.49,-89.5,185028,0,0,0,0,0.07,0.09,1.07,22.01,205.87,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-25-46-180,-0.45,1.17,-0.66,-0.02,0.57,-1.35,0.05,-0.04,1.02,41.49,-89.5,185017,0,0,0,0,0.12,0.08,1.07,22,206.39,NO SIGN,1,-47,7.78,434,0
2022-5-7--11-25-46-610,-0.46,1.24,-0.68,1.26,1.25,-1.29,0.04,-0.06,1.03,41.49,-89.5,185015,0,0,0,0,0.11,0.08,1.07,22.01,206.05,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-25-47-39,-0.5,1.18,-0.7,0.62,0.81,-0.55,0.03,-0.09,1.01,41.49,-89.5,184985,0,0,0,0,0.1,0.08,1.07,22.01,206.22,NO SIGN,1,-48,7.75,434,0
2022-5-7--11-25-47-469,-0.44,1.17,-0.66,0.26,1.79,-1.05,0.01,-0.05,1.04,41.49,-89.5,185013,0,0,0,0,0.12,0.08,1.07,22.01,205.7,NO SIGN,1,-48,7.76,434,0
2022-5-7--11-25-47-899,-0.44,1.17,-0.68,0.38,0.9,-2.07,0.02,-0.03,1.04,41.49,-89.5,185283,0,0,0,0,0.1,0.09,1.07,22.01,205.87,NO SIGN,1,-48,7.72,434,0
2022-5-7--11-25-48-329,-0.48,1.18,-0.7,0.43,1.1,-1.09,0.02,-0.02,1.04,41.49,-89.5,185649,0,0,0,0,0.11,0.09,1.07,22.01,205.79,NO SIGN,1,-48,7.76,434,0
2022-5-7--11-25-48-758,-0.47,1.19,-0.72,0.34,0.74,-1.86,0.03,-0.06,1.04,41.49,-89.5,185947,0,0,0,0,0.11,0.09,1.07,22.02,206.23,NO SIGN,1,-48,7.72,434,0
2022-5-7--11-25-49-188,-0.47,1.17,-0.7,0.41,1.09,-0.98,0.04,-0.06,1.04,41.49,-89.5,186218,0,0,0,0,0.12,0.07,1.07,22.02,206.23,NO SIGN,1,-48,6.95,434,0
2022-5-7--11-25-49-618,-0.44,1.22,-0.71,0.23,0.81,-1.43,0.04,-0.05,1.04,41.49,-89.5,186530,0,0,0,0,0.12,0.07,1.07,22.02,205.97,NO SIGN,1,-47,7.2,434,0
2022-5-7--11-25-50-47,-0.49,1.18,-0.72,1.37,1.41,-0.46,0.04,-0.04,1.05,41.49,-89.5,186383,0,0,0,0,0.1,0.09,1.07,22.02,205.97,NO SIGN,1,-50,7.76,434,0
2022-5-7--11-25-50-477,-0.45,1.18,-0.69,0.32,0.6,-1.1,0.02,-0.04,1.04,41.49,-89.5,186449,0,0,0,0,0.1,0.08,1.07,22.02,205.97,NO SIGN,1,-55,7.73,434,0
2022-5-7--11-25-50-907,-0.46,1.22,-0.74,-0.11,1.35,-0.95,0.04,-0.03,1.02,41.49,-89.5,186640,0,0,0,0,0.1,0.08,1.07,22.02,205.79,NO SIGN,1,-50,7.73,434,0
2022-5-7--11-25-51-337,-0.45,1.19,-0.7,0.39,0.76,-1.3,0.03,-0.05,1.04,41.49,-89.5,187404,0,0,0,0,0.11,0.09,1.07,22.02,205.88,NO SIGN,1,-47,7.74,434,0
2022-5-7--11-25-51-766,-0.46,1.19,-0.7,0.01,0.92,-0.88,0.04,-0.08,1.03,41.49,-89.5,187625,0,0,0,0,0.12,0.08,1.07,22.02,205.88,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-25-52-196,-0.46,1.22,-0.74,0.04,0.88,-1.88,0.01,-0.05,1.03,41.49,-89.5,187622,0,0,0,0,0.11,0.08,1.07,22.03,205.8,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-25-52-626,-0.5,1.2,-0.75,0.47,1.16,-1.2,0.02,-0.07,1.02,41.49,-89.5,187469,0,0,0,0,0.11,0.09,1.06,22.03,205.98,NO SIGN,1,-46,7.7,434,0
2022-5-7--11-25-53-56,-0.47,1.19,-0.73,0.07,1.01,-1.08,0.03,-0.07,1.02,41.49,-89.5,187087,0,0,0,0,0.11,0.09,1.07,22.03,205.89,NO SIGN,1,-46,7.74,434,0
2022-5-7--11-25-53-486,-0.5,1.2,-0.75,0.52,1.13,-1.38,0.01,-0.07,1.03,41.49,-89.5,186598,0,0,0,0,0.11,0.1,1.06,22.03,206.06,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-25-53-915,-0.46,1.23,-0.75,0.52,0.88,-1.5,0.03,-0.06,1.03,41.49,-89.5,186245,0,0,0,0,0.11,0.09,1.06,22.03,206.15,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-25-54-345,-0.5,1.19,-0.74,0.61,1.15,-1.62,0.03,-0.05,1.03,41.49,-89.5,185958,0,0,0,0,0.1,0.09,1.07,22.03,205.8,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-25-54-774,-0.46,1.19,-0.7,0.4,1.29,-1.17,0.06,-0.05,1.04,41.49,-89.5,192870,0,0,0,0,0.11,0.08,1.07,22.03,205.98,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-25-55-204,-0.5,1.19,-0.75,1.09,1.81,-1.37,0.02,-0.04,1.04,41.49,-89.5,194813,0,0,0,0,0.1,0.11,1.06,22.04,205.63,NO SIGN,1,-46,7.73,434,0
2022-5-7--11-25-55-634,-0.46,1.24,-0.74,-0.15,0.77,-1.34,0.03,-0.05,1.04,41.49,-89.5,196750,0,0,0,0,0.11,0.1,1.07,22.04,205.98,NO SIGN,1,-46,7.74,434,0
2022-5-7--11-25-56-64,-0.47,1.2,-0.71,0.24,0.94,-1.12,0.01,-0.07,1.04,41.49,-89.5,197443,0,0,0,0,0.11,0.1,1.07,22.04,205.98,NO SIGN,1,-46,6.87,434,0
2022-5-7--11-25-56-494,-0.48,1.19,-0.71,-0.25,0.39,-1.39,0.04,-0.07,1.03,41.49,-89.5,198158,0,0,0,0,0.11,0.09,1.07,22.04,206.24,NO SIGN,1,-46,7.17,434,0
2022-5-7--11-25-56-923,-0.47,1.19,-0.76,0.19,1.68,-1.85,0.01,-0.06,1.02,41.49,-89.5,198758,0,0,0,0,0.11,0.11,1.07,22.04,205.72,NO SIGN,1,-46,7.74,434,0
2022-5-7--11-25-57-353,-0.47,1.23,-0.75,0.53,0.84,-1.03,0.04,-0.08,1.03,41.49,-89.5,198888,0,0,0,0,0.12,0.1,1.07,22.05,206.43,NO SIGN,1,-46,7.72,434,0
2022-5-7--11-25-57-783,-0.46,1.18,-0.71,0.3,1.5,-1.77,0.04,-0.06,1.04,41.49,-89.5,199315,0,0,0,0,0.1,0.09,1.07,22.05,206.25,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-25-58-212,-0.42,1.21,-0.7,0.19,1.35,-0.85,0.05,-0.06,1.04,41.49,-89.5,199685,0,0,0,0,0.1,0.08,1.07,22.05,205.99,NO SIGN,1,-47,7.73,434,0
2022-5-7--11-25-58-642,-0.44,1.19,-0.68,1.16,0.78,-2.2,0.05,-0.06,1.04,41.49,-89.5,199743,0,0,0,0,0.1,0.07,1.07,22.05,206.08,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-25-59-72,-0.45,1.19,-0.7,0.53,1.1,-1.62,0.07,-0.06,1.05,41.49,-89.5,199478,0,0,0,0,0.11,0.07,1.07,22.05,206.34,NO SIGN,1,-47,7.72,434,0
2022-5-7--11-25-59-503,-0.5,1.2,-0.75,0.29,1.68,-0.52,0.04,-0.06,1.04,41.49,-89.5,199206,0,0,0,0,0.11,0.08,1.07,22.05,205.99,NO SIGN,1,-46,7.74,434,0
2022-5-7--11-25-59-931,-0.41,1.15,-0.63,0.3,1.3,-1.81,0.03,-0.08,1.04,41.49,-89.5,199085,0,0,0,0,0.11,0.1,1.07,22.05,206.16,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-26-00-361,-0.5,1.08,-0.44,0.04,0.76,-1.53,0.02,-0.05,1.03,41.49,-89.5,198920,0,0,0,0,0.11,0.1,1.07,22.06,206.52,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-26-00-791,-0.49,1.06,-0.4,0.94,1.22,-2.23,0.02,-0.05,1.03,41.49,-89.5,198961,0,0,0,0,0.11,0.09,1.07,22.06,206.7,NO SIGN,1,-45,7.72,434,0
2022-5-7--11-26-01-221,-0.5,1.12,-0.44,0.56,1.06,-1.44,0.03,-0.05,1.03,41.49,-89.5,198858,0,0,0,0,0.11,0.09,1.07,22.06,206.52,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-01-650,-0.54,1.07,-0.43,0.43,0.4,-1.49,0.02,-0.05,1.04,41.49,-89.5,198855,0,0,0,0,0.11,0.1,1.07,22.06,206.35,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-26-02-80,-0.51,1.13,-0.49,0.89,1.14,-1.63,0.02,-0.07,1.03,41.49,-89.5,198925,0,0,0,0,0.11,0.09,1.07,22.06,206.7,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-02-510,-0.38,1.11,-0.65,0.88,1.27,-1.6,0.03,-0.07,1.04,41.49,-89.5,199105,0,0,0,0,0.1,0.08,1.06,22.06,206.35,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-02-940,-0.42,1.22,-0.69,-0.01,1.62,-0.33,0.03,-0.05,1.04,41.49,-89.5,199264,0,0,0,0,0.1,0.09,1.07,22.07,206.09,NO SIGN,1,-46,7.72,434,0
2022-5-7--11-26-03-369,-0.48,1.2,-0.72,0.04,1.37,-0.8,0.03,-0.04,1.04,41.49,-89.5,199187,0,0,0,0,0.11,0.09,1.07,22.07,206.27,NO SIGN,1,-48,7.69,434,0
2022-5-7--11-26-03-799,-0.43,1.18,-0.68,0.37,0.96,-0.88,0.04,-0.05,1.03,41.49,-89.5,199132,0,0,0,0,0.11,0.09,1.07,22.07,205.83,NO SIGN,1,-52,7.73,434,0
2022-5-7--11-26-04-229,-0.42,1.2,-0.69,0.17,1.66,-1.62,0.04,-0.06,1.04,41.49,-89.5,199652,0,0,0,0,0.11,0.09,1.06,22.07,205.65,NO SIGN,1,-47,7.13,434,0
2022-5-7--11-26-04-658,-0.43,1.18,-0.67,0.67,0.79,-1.52,0.02,-0.06,1.03,41.49,-89.5,200121,0,0,0,0,0.1,0.08,1.07,22.07,205.65,NO SIGN,1,-49,7.76,434,0
2022-5-7--11-26-05-88,-0.44,1.19,-0.7,0.39,0.57,-1.64,0.03,-0.05,1.04,41.49,-89.5,200533,0,0,0,0,0.11,0.08,1.07,22.07,205.92,NO SIGN,1,-47,7.75,434,0
2022-5-7--11-26-05-518,-0.44,1.19,-0.69,0.22,1.01,-1.56,0.02,-0.04,1.04,41.49,-89.5,200790,0,0,0,0,0.1,0.08,1.07,22.07,206.18,NO SIGN,1,-46,7.74,434,0
2022-5-7--11-26-05-948,-0.47,1.2,-0.74,0.33,1.24,-1.43,0.05,-0.05,1.04,41.49,-89.5,200883,0,0,0,0,0.11,0.09,1.07,22.08,205.49,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-06-378,-0.43,1.14,-0.66,-0.46,0.78,-0.84,0.02,-0.05,1.04,41.49,-89.5,200824,0,0,0,0,0.11,0.09,1.07,22.08,205.66,NO SIGN,1,-45,7.74,434,0
2022-5-7--11-26-06-807,-0.44,1.16,-0.61,0.25,1.38,-1.45,0.04,-0.07,1.03,41.49,-89.5,200805,0,0,0,0,0.11,0.09,1.07,22.08,205.84,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-26-07-237,-0.48,1.19,-0.72,0.27,1.31,-1.62,0.02,-0.06,1.02,41.49,-89.5,200749,0,0,0,0,0.11,0.09,1.07,22.08,206.19,NO SIGN,1,-45,7.74,434,0
2022-5-7--11-26-07-667,-0.44,1.24,-0.72,0.32,0.81,-1.18,0.03,-0.07,1.03,41.49,-89.5,200691,0,0,0,0,0.11,0.08,1.06,22.08,205.84,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-26-08-97,-0.49,1.19,-0.72,0.32,0.94,-1,0.02,-0.05,1.03,41.49,-89.5,200612,0,0,0,0,0.11,0.09,1.07,22.08,206.36,NO SIGN,1,-45,7.72,434,0
2022-5-7--11-26-08-526,-0.48,1.19,-0.73,0.52,0.91,-1.52,0.06,-0.07,1.06,41.49,-89.5,200536,0,0,0,0,0.1,0.08,1.07,22.09,206.19,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-08-956,-0.43,1.23,-0.71,0.31,0.7,-1.28,0.03,-0.06,1.04,41.49,-89.5,200647,0,0,0,0,0.11,0.08,1.06,22.09,206.37,NO SIGN,1,-46,7.75,434,0
2022-5-7--11-26-09-386,-0.48,1.2,-0.74,0.49,2.23,-0.87,0.01,-0.07,1.02,41.49,-89.5,200572,0,0,0,0,0.11,0.09,1.07,22.09,206.19,NO SIGN,1,-49,7.75,434,0
2022-5-7--11-26-09-816,-0.41,1.17,-0.64,0.55,0.82,-1.51,0.04,-0.03,1.02,41.49,-89.5,200636,0,0,0,0,0.1,0.08,1.06,22.09,205.93,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-26-10-245,-0.55,1.08,-0.48,0.27,0.96,-1.09,0.04,-0.06,1.03,41.49,-89.5,200686,0,0,0,0,0.11,0.07,1.07,22.09,206.02,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-26-10-675,-0.49,1.06,-0.42,0.74,0.69,-1.88,0.04,-0.04,1.04,41.49,-89.5,200679,0,0,0,0,0.1,0.08,1.07,22.09,206.19,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-11-104,-0.52,1.05,-0.46,0.38,0.92,-1.64,0.04,-0.05,1.04,41.49,-89.5,200784,0,0,0,0,0.1,0.08,1.06,22.09,206.11,NO SIGN,1,-45,7.72,434,0
2022-5-7--11-26-11-534,-0.48,1.05,-0.42,0.81,0.98,-1.3,0.02,-0.05,1.03,41.49,-89.5,200846,0,0,0,0,0.1,0.1,1.06,22.1,206.02,NO SIGN,1,-45,7.75,434,0
2022-5-7--11-26-11-964,-0.5,1.06,-0.45,0.54,0.73,-1.45,0.03,-0.04,1.03,41.49,-89.5,200889,0,0,0,0,0.11,0.08,1.06,22.1,205.85,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-12-394,-0.48,1.11,-0.44,0.6,0.84,-1.36,0.04,-0.04,1.03,41.49,-89.5,200877,0,0,0,0,0.1,0.08,1.07,22.1,205.68,NO SIGN,1,-45,7.51,434,0
2022-5-7--11-26-12-824,-0.48,1.1,-0.45,-0.03,1.81,-1.5,0.04,-0.06,1.04,41.49,-89.5,200919,0,0,0,0,0.1,0.07,1.07,22.1,205.85,NO SIGN,1,-44,6.78,434,0
2022-5-7--11-26-13-253,-0.48,1.06,-0.41,0.17,1,-1.03,0.04,-0.04,1.04,41.49,-89.5,200907,0,0,0,0,0.11,0.08,1.07,22.1,205.85,NO SIGN,1,-45,6.92,434,0
2022-5-7--11-26-13-683,-0.48,1.1,-0.45,-0.39,1.3,-1.53,0.05,-0.05,1.04,41.49,-89.5,200961,0,0,0,0,0.1,0.09,1.07,22.11,205.86,NO SIGN,1,-45,7.71,434,0
2022-5-7--11-26-14-113,-0.48,1.06,-0.4,0.32,0.69,-0.6,0.03,-0.05,1.03,41.49,-89.5,201083,0,0,0,0,0.11,0.08,1.07,22.11,205.77,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-26-14-542,-0.5,1.11,-0.45,0.82,0.85,-1.47,0.04,-0.06,1.04,41.49,-89.5,201018,0,0,0,0,0.11,0.08,1.07,22.11,205.86,NO SIGN,1,-45,7.73,434,0
2022-5-7--11-26-14-972,-0.53,1.06,-0.43,1.23,1.16,-2.02,0.04,-0.04,1.03,41.49,-89.5,201055,0,0,0,0,0.11,0.08,1.07,22.11,206.03,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-26-15-402,-0.41,1.09,-0.55,0.46,0.67,-1.57,0.03,-0.06,1.03,41.49,-89.5,201058,0,0,0,0,0.1,0.08,1.07,22.11,205.94,NO SIGN,1,-45,7.72,434,0
2022-5-7--11-26-15-832,-0.39,1.13,-0.6,0.78,1.16,-2.21,0.02,-0.05,1.04,41.49,-89.5,201027,0,0,0,0,0.11,0.1,1.07,22.11,206.12,NO SIGN,1,-46,7.73,434,0
2022-5-7--11-26-16-261,-0.48,1.19,-0.72,0.31,0.97,-0.96,0.03,-0.06,1.03,41.49,-89.5,201057,0,0,0,0,0.11,0.08,1.07,22.12,206.39,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-26-16-691,-0.43,1.18,-0.66,1.14,1.13,-1.67,0.04,-0.05,1.05,41.49,-89.5,201167,0,0,0,0,0.11,0.08,1.06,22.12,205.95,NO SIGN,1,-46,7.76,434,0
2022-5-7--11-26-17-121,-0.49,1.21,-0.73,0.06,0.61,-1.71,0.01,-0.03,1.04,41.49,-89.5,201227,0,0,0,0,0.11,0.08,1.06,22.12,206.04,NO SIGN,1,-45,7.73,434,0
2022-5-7--11-26-17-551,-0.44,1.18,-0.69,0.39,1.15,-1.29,0.05,-0.04,1.03,41.49,-89.5,201265,0,0,0,0,0.11,0.1,1.06,22.12,206.21,NO SIGN,1,-47,7.74,434,0
2022-5-7--11-26-17-980,-0.45,1.19,-0.68,0.76,1.3,-1.84,0.02,-0.05,1.05,41.49,-89.5,201300,0,0,0,0,0.11,0.09,1.06,22.12,205.78,NO SIGN,1,-48,7.72,434,0
2022-5-7--11-26-18-410,-0.45,1.18,-0.69,0.1,0.7,-1.23,0.02,-0.05,1.03,41.49,-89.5,201397,0,0,0,0,0.11,0.07,1.06,22.12,205.69,NO SIGN,1,-48,7.73,434,0
2022-5-7--11-26-18-840,-0.47,1.19,-0.73,1.13,0.52,-1.48,0.04,-0.07,1.03,41.49,-89.5,201475,0,0,0,0,0.11,0.08,1.06,22.13,205.61,NO SIGN,1,-48,7.73,434,0
2022-5-7--11-26-19-270,-0.45,1.2,-0.68,0.45,1.35,-2.25,0.03,-0.05,1.04,41.49,-89.5,201512,0,0,0,0,0.1,0.08,1.07,22.13,205.52,NO SIGN,1,-48,7.73,434,0
2022-5-7--11-26-19-699,-0.49,1.2,-0.72,0.5,1.15,-1.23,0.04,-0.05,1.03,41.49,-89.5,201577,0,0,0,0,0.1,0.08,1.07,22.13,206.13,NO SIGN,1,-48,7.73,434,0
2022-5-7--11-26-20-129,-0.41,1.16,-0.67,0.38,1.14,-1.95,0.05,-0.04,1.04,41.49,-89.5,201632,0,0,0,0,0.1,0.07,1.07,22.13,205.87,NO SIGN,1,-52,7.74,434,0
2022-5-7--11-26-20-559,-0.44,1.22,-0.71,0.23,0.96,-1.6,0.03,-0.04,1.07,41.49,-89.5,201607,0,0,0,0,0.1,0.1,1.06,22.13,205.96,NO SIGN,1,-51,7.72,434,0
2022-5-7--11-26-20-989,-0.44,1.19,-0.69,0.63,1.23,-1.49,0.01,-0.05,1.02,41.49,-89.5,201619,0,0,0,0,0.1,0.09,1.07,22.13,205.7,NO SIGN,1,-54,7.73,434,0
2022-5-7--11-26-21-418,-0.47,1.25,-0.72,0.6,1.05,-1.45,0.04,-0.03,1.04,41.49,-89.5,201667,0,0,0,0,0.1,0.08,1.06,22.14,205.7,NO SIGN,1,-50,7.73,434,0
2022-5-7--11-26-21-848,-0.46,1.18,-0.7,0.27,1.44,-1.37,0.02,-0.03,1.03,41.49,-89.5,201700,0,0,0,0,0.11,0.07,1.06,22.14,205.62,NO SIGN,1,-53,7.77,434,0
2022-5-7--11-26-22-278,-0.43,1.24,-0.72,1.02,0.93,-2.15,0.02,-0.06,1.03,41.49,-89.5,201693,0,0,0,0,0.11,0.1,1.07,22.14,205.7,NO SIGN,1,-56,7.76,434,0
2022-5-7--11-26-22-707,-0.49,1.2,-0.74,0.25,1.24,-1.08,0.03,-0.07,1.04,41.49,-89.5,201642,0,0,0,0,0.11,0.09,1.07,22.14,205.97,NO SIGN,1,-52,7.72,434,0
2022-5-7--11-26-23-137,-0.46,1.25,-0.74,0.94,1.09,-0.96,0.04,-0.06,1.03,41.49,-89.5,201722,0,0,0,0,0.11,0.09,1.07,22.14,205.44,NO SIGN,1,-52,7.71,434,0
2022-5-7--11-26-23-567,-0.42,1.17,-0.64,0.4,0.85,-1.45,0.03,-0.05,1.03,41.49,-89.5,201724,0,0,0,0,0.11,0.08,1.07,22.15,205.54,NO SIGN,1,-53,7.65,434,0
2022-5-7--11-26-23-997,-0.43,1.23,-0.72,0.55,1.11,-1.19,0.02,-0.04,1.04,41.49,-89.5,201775,0,0,0,0,0.11,0.09,1.07,22.15,205.71,NO SIGN,1,-53,7.78,434,0
2022-5-7--11-26-24-427,-0.45,1.2,-0.7,0.38,1.12,-1.69,0.06,-0.03,1.04,41.49,-89.5,201801,0,0,0,0,0.12,0.08,1.06,22.15,205.36,NO SIGN,1,-55,7.76,434,0
2022-5-7--11-26-24-856,-0.46,1.19,-0.72,0.53,1.11,-1.23,0.03,-0.06,1.03,41.49,-89.5,201719,0,0,0,0,0.1,0.08,1.07,22.15,205.8,NO SIGN,1,-58,7.74,434,0
2022-5-7--11-26-25-286,-0.44,1.19,-0.73,0.41,1.44,-1.05,0.02,-0.05,1.03,41.49,-89.5,201634,0,0,0,0,0.1,0.1,1.06,22.15,205.71,NO SIGN,1,-58,7.76,434,0
2022-5-7--11-26-25-716,-0.42,1.16,-0.7,0.42,0.82,-1.98,0.08,-0.04,1.01,41.49,-89.5,201602,0,0,0,0,0.11,0.08,1.06,22.15,205.71,NO SIGN,1,-56,7.74,434,0
2022-5-7--11-26-26-146,-0.43,1.24,-0.74,0.26,1.19,-1.28,0.03,-0.05,1.05,41.49,-89.5,201484,0,0,0,0,0.1,0.07,1.07,22.16,205.72,NO SIGN,1,-58,7.76,434,0
2022-5-7--11-26-26-575,-0.47,1.21,-0.74,-0.22,1.12,-0.26,0.03,-0.05,1.04,41.49,-89.5,201355,0,0,0,0,0.11,0.1,1.07,22.16,205.46,NO SIGN,1,-59,7.72,434,0
2022-5-7--11-26-27-5,-0.45,1.25,-0.73,0.82,1.11,-1.38,0.04,-0.06,1.03,41.49,-89.5,201281,0,0,0,0,0.1,0.08,1.07,22.16,205.8,NO SIGN,1,-58,7.74,434,0
2022-5-7--11-26-27-435,-0.49,1.21,-0.72,0.14,0.9,-0.64,0.04,-0.04,1.04,41.49,-89.5,201138,0,0,0,0,0.13,0.09,1.07,22.16,205.63,NO SIGN,1,-56,7.73,434,0
2022-5-7--11-26-27-865,-0.45,1.2,-0.69,0.25,-0.33,-0.46,0.04,-0.06,1.04,41.49,-89.5,201222,0,0,0,0,0.11,0.07,1.07,22.16,205.72,NO SIGN,1,-57,7.74,434,0
2022-5-7--11-26-28-294,-0.45,1.2,-0.69,0.45,1.01,-1.28,0.02,-0.05,1.03,41.49,-89.5,201319,0,0,0,0,0.11,0.09,1.06,22.16,205.8,NO SIGN,1,-57,7.71,434,0
2022-5-7--11-26-28-724,-0.45,1.21,-0.68,-0.04,2.27,-1.69,0,-0.05,1.04,41.49,-89.5,201384,0,0,0,0,0.12,0.1,1.06,22.17,205.55,NO SIGN,1,-56,7.75,434,0
2022-5-7--11-26-29-154,-0.39,1.15,-0.63,0.66,0.83,-1.91,0.04,-0.06,1.04,41.49,-89.5,201392,0,0,0,0,0.11,0.09,1.07,22.17,205.55,NO SIGN,1,-56,7.76,434,0
2022-5-7--11-26-29-584,-0.39,1.19,-0.67,0.38,0.9,-1.07,0.03,-0.06,1.05,41.49,-89.5,201427,0,0,0,0,0.11,0.08,1.07,22.17,205.55,NO SIGN,1,-56,7.76,434,0
2022-5-7--11-26-30-13,-0.4,1.14,-0.65,0.06,1.12,-1.73,0.04,-0.07,1.03,41.49,-89.5,201400,0,0,0,0,0.11,0.09,1.07,22.17,205.81,NO SIGN,1,-55,7.76,434,0
2022-5-7--11-26-30-443,-0.41,1.13,-0.65,0.39,0.74,-1.43,0.02,-0.04,1.02,41.49,-89.5,200845,0,0,0,0,0.11,0.08,1.07,22.17,205.55,NO SIGN,1,-57,7.75,434,0
2022-5-7--11-26-30-873,-0.41,1.13,-0.65,0.02,1.71,-1.07,0.06,-0.06,1.03,41.49,-89.5,200028,0,0,0,0,0.12,0.06,1.07,22.17,205.72,NO SIGN,1,-61,7.76,434,0
2022-5-7--11-26-31-302,-0.46,1.11,-0.68,0.43,1.07,-2.07,0.03,-0.06,1.02,41.49,-89.5,199579,0,0,0,0,0.11,0.09,1.07,22.18,205.99,NO SIGN,1,-56,7.76,434,0
2022-5-7--11-26-31-732,-0.42,1.08,-0.67,-0.17,0.99,-1.4,0.01,-0.07,1.05,41.49,-89.5,199126,0,0,0,0,0.1,0.09,1.07,22.18,205.99,NO SIGN,1,-54,7.74,434,0
2022-5-7--11-26-32-162,-0.48,1.11,-0.65,-0.09,0.68,-1.23,0,-0.04,1.03,41.49,-89.5,198731,0,0,0,0,0.12,0.08,1.07,22.18,205.82,NO SIGN,1,-50,7.76,434,0
2022-5-7--11-26-32-591,-0.45,1.12,-0.54,0.22,1.7,-0.59,0.03,-0.05,1.03,41.49,-89.5,198337,0,0,0,0,0.11,0.09,1.07,22.18,205.82,NO SIGN,1,-50,7.74,434,0
2022-5-7--11-26-33-21,-0.51,1.06,-0.44,0.1,2.03,-2.04,0.03,-0.06,1.02,41.49,-89.5,197960,0,0,0,0,0.13,0.1,1.07,22.18,205.99,NO SIGN,1,-58,7.76,434,0
2022-5-7--11-26-33-451,-0.48,1.11,-0.46,0.16,0.78,-1.92,0.01,-0.07,1.04,41.49,-89.5,197841,0,0,0,0,0.13,0.08,1.07,22.19,206,NO SIGN,1,-58,7.76,434,0
2022-5-7--11-26-33-881,-0.52,1.06,-0.45,0.21,1.16,-1.3,0.05,-0.07,1.03,41.49,-89.5,197681,0,0,0,0,0.1,0.08,1.07,22.19,205.91,NO SIGN,1,-58,7.73,434,0
2022-5-7--11-26-34-311,-0.48,1.1,-0.45,-0.21,0.71,-0.82,0.03,-0.06,1.03,41.49,-89.5,197409,0,0,0,0,0.11,0.08,1.07,22.19,205.83,NO SIGN,1,-82,7.75,434,0
2022-5-7--11-26-34-740,-0.49,1.06,-0.41,0.43,1.34,-1.37,0.04,-0.06,1.03,41.49,-89.5,197248,0,0,0,0,0.11,0.09,1.07,22.19,205.74,NO SIGN,1,-73,7.75,434,0
2022-5-7--11-26-35-170,-0.5,1.12,-0.45,0.31,1.78,-1.09,0.02,-0.05,1.03,41.49,-89.5,197052,0,0,0,0,0.11,0.1,1.07,22.19,205.74,NO SIGN,1,-62,7.74,434,0
