Time	Altitude	Temp.	Voltage
0.00	0	58.7F	9.6
0.05	1	58.7F	9.6
0.10	0	58.7F	9.6
0.15	1	58.7F	9.6
0.20	2	58.7F	9.6
0.25	-15	58.7F	9.6
0.30	6	58.7F	9.6
0.35	4	58.7F	9.6
0.40	4	58.7F	9.6
0.45	1	58.7F	9.6
0.50	9	58.7F	9.6
0.55	12	58.7F	9.6
0.60	14	58.7F	9.6
0.65	18	58.7F	9.6
0.70	24	58.7F	9.6
0.75	31	58.7F	9.6
0.80	37	58.7F	9.6
0.85	46	58.7F	9.6
0.90	53	58.7F	9.6
0.95	62	58.7F	9.6
1.00	71	58.7F	9.6
1.05	80	58.7F	9.6
1.10	88	58.7F	9.6
1.15	99	58.7F	9.6
1.20	113	58.7F	9.6
1.25	124	58.7F	9.6
1.30	137	58.7F	9.6
1.35	151	58.7F	9.6
1.40	167	58.7F	9.6
1.45	180	58.7F	9.6
1.50	195	58.7F	9.6
1.55	210	58.7F	9.6
1.60	226	58.7F	9.6
1.65	245	58.7F	9.6
1.70	260	58.7F	9.6
1.75	278	58.7F	9.6
1.80	299	58.7F	9.6
1.85	321	58.7F	9.6
1.90	336	58.7F	9.6
1.95	362	58.7F	9.6
2.00	380	58.7F	9.6
2.05	399	58.7F	9.6
2.10	422	58.7F	9.6
2.15	437	58.7F	9.6
2.20	337	58.7F	9.6
2.25	360	58.7F	9.6
2.30	375	58.7F	9.6
2.35	407	58.7F	9.6
2.40	391	58.7F	9.6
2.45	447	58.7F	9.6
2.50	230	58.7F	9.6
2.55	241	58.8F	9.6
2.60	579	58.9F	9.6
2.65	564	59.2F	9.6
2.70	517	59.4F	9.6
2.75	530	59.6F	9.6
2.80	505	59.8F	9.6
2.85	491	59.9F	9.6
2.90	523	60.1F	9.6
2.95	566	60.2F	9.6
3.00	551	60.4F	9.6
3.05	575	60.5F	9.6
3.10	574	60.6F	9.6
3.15	614	60.6F	9.6
3.20	621	60.7F	9.6
3.25	637	60.7F	9.6
3.30	655	60.7F	9.6
3.35	677	60.7F	9.6
3.40	688	60.8F	9.6
3.45	713	60.7F	9.6
3.50	726	60.7F	9.6
3.55	733	60.7F	9.6
3.60	742	60.7F	9.6
3.65	762	60.7F	9.6
3.70	780	60.7F	9.6
3.75	784	60.6F	9.6
3.80	795	60.6F	9.6
3.85	830	60.6F	9.6
3.90	823	60.6F	9.6
3.95	844	60.5F	9.6
4.00	852	60.5F	9.6
4.05	870	60.5F	9.6
4.10	904	60.4F	9.6
4.15	891	60.4F	9.6
4.20	914	60.4F	9.6
4.25	931	60.4F	9.6
4.30	935	60.4F	9.6
4.35	945	60.3F	9.6
4.40	953	60.3F	9.6
4.45	970	60.3F	9.6
4.50	987	60.2F	9.6
4.55	996	60.2F	9.6
4.60	1007	60.2F	9.6
4.65	1018	60.2F	9.6
4.70	1023	60.2F	9.6
4.75	1043	60.2F	9.6
4.80	1047	60.1F	9.6
4.85	1058	60.1F	9.6
4.90	1062	60.1F	9.6
4.95	1079	60.1F	9.6
5.00	1097	60.1F	9.6
5.05	1093	60.1F	9.6
5.10	1114	60.0F	9.6
5.15	1113	60.0F	9.6
5.20	1131	60.0F	9.6
5.25	1134	60.0F	9.6
5.30	1152	60.0F	9.6
5.35	1157	60.0F	9.6
5.40	1162	60.0F	9.6
5.45	1171	60.0F	9.6
5.50	1178	60.0F	9.6
5.55	1187	59.9F	9.6
5.60	1202	59.9F	9.6
5.65	1208	59.9F	9.6
5.70	1218	59.9F	9.6
5.75	1223	59.9F	9.6
5.80	1228	59.9F	9.6
5.85	1235	59.9F	9.6
5.90	1248	59.9F	9.6
5.95	1257	59.9F	9.6
6.00	1268	59.9F	9.6
6.05	1270	59.9F	9.6
6.10	1275	59.9F	9.6
6.15	1282	59.9F	9.6
6.20	1288	59.9F	9.6
6.25	1291	59.9F	9.6
6.30	1301	59.9F	9.6
6.35	1308	59.9F	9.6
6.40	1316	59.9F	9.6
6.45	1325	59.8F	9.6
6.50	1326	59.8F	9.6
6.55	1332	59.8F	9.6
6.60	1344	59.9F	9.6
6.65	1347	59.8F	9.6
6.70	1358	59.8F	9.6
6.75	1365	59.8F	9.6
6.80	1368	59.8F	9.6
6.85	1372	59.8F	9.6
6.90	1374	59.8F	9.6
6.95	1382	59.8F	9.6
7.00	1389	59.8F	9.6
7.05	1389	59.8F	9.6
7.10	1394	59.8F	9.6
7.15	1398	59.8F	9.6
7.20	1401	59.8F	9.6
7.25	1405	59.8F	9.6
7.30	1413	59.8F	9.6
7.35	1416	59.8F	9.6
7.40	1422	59.8F	9.6
7.45	1423	59.8F	9.6
7.50	1430	59.8F	9.6
7.55	1434	59.8F	9.6
7.60	1442	59.8F	9.6
7.65	1443	59.8F	9.6
7.70	1446	59.8F	9.6
7.75	1451	59.8F	9.6
7.80	1457	59.8F	9.6
7.85	1459	59.8F	9.6
7.90	1460	59.8F	9.6
7.95	1465	59.8F	9.6
8.00	1468	59.8F	9.6
8.05	1470	59.8F	9.6
8.10	1472	59.8F	9.6
8.15	1476	59.8F	9.6
8.20	1480	59.8F	9.6
8.25	1481	59.8F	9.6
8.30	1485	59.8F	9.6
8.35	1490	59.8F	9.6
8.40	1492	59.8F	9.6
8.45	1491	59.8F	9.6
8.50	1495	59.8F	9.6
8.55	1498	59.8F	9.6
8.60	1499	59.8F	9.6
8.65	1501	59.8F	9.6
8.70	1503	59.8F	9.6
8.75	1508	59.8F	9.6
8.80	1506	59.8F	9.6
8.85	1508	59.8F	9.6
8.90	1511	59.8F	9.6
8.95	1511	59.8F	9.6
9.00	1514	59.8F	9.6
9.05	1516	59.8F	9.6
9.10	1516	59.8F	9.6
9.15	1516	59.9F	9.6
9.20	1520	59.8F	9.6
9.25	1520	59.9F	9.6
9.30	1520	59.8F	9.6
9.35	1521	59.9F	9.6
9.40	1522	59.9F	9.6
9.45	1523	59.9F	9.6
9.50	1523	59.9F	9.6
9.55	1525	59.9F	9.6
9.60	1525	59.9F	9.6
9.65	1525	59.9F	9.6
9.70	1525	59.9F	9.6
9.75	788	59.8F	9.4
9.80	1530	59.9F	9.4
9.85	1527	59.9F	9.5
9.90	1522	59.9F	9.5
9.95	1522	59.9F	9.5
10.00	1527	59.9F	9.5
10.05	1527	59.9F	9.6
10.10	1526	59.9F	9.6
10.15	1525	59.9F	9.6
10.20	1524	59.9F	9.6
10.25	1523	59.9F	9.6
10.30	1522	59.9F	9.6
10.35	1520	59.9F	9.6
10.40	1519	59.9F	9.6
10.45	1520	59.9F	9.6
10.50	1522	59.9F	9.6
10.55	1521	59.9F	9.6
10.60	1516	59.9F	9.6
10.65	1522	59.9F	9.6
10.70	1523	59.9F	9.6
10.75	1527	59.9F	9.6
10.80	1524	59.9F	9.6
10.85	1526	59.9F	9.6
10.90	1525	59.9F	9.6
10.95	1518	59.9F	9.6
11.00	1509	59.9F	9.6
11.05	1501	59.9F	9.6
11.10	1507	59.9F	9.6
11.15	1507	59.9F	9.6
11.20	1504	59.9F	9.6
11.25	1502	59.9F	9.6
11.30	1502	59.9F	9.6
11.35	1497	59.9F	9.6
11.40	1498	59.9F	9.6
11.45	1496	59.9F	9.6
11.50	1494	59.9F	9.6
11.55	1494	59.9F	9.6
11.60	1492	59.9F	9.6
11.65	1491	59.9F	9.6
11.70	1493	59.9F	9.6
11.75	1491	59.9F	9.6
11.80	1490	59.9F	9.6
11.85	1489	59.9F	9.6
11.90	1491	59.9F	9.6
11.95	1489	59.9F	9.6
12.00	1484	59.9F	9.6
12.05	1483	59.9F	9.6
12.10	1481	59.9F	9.6
12.15	1482	59.9F	9.6
12.20	1482	59.9F	9.6
12.25	1479	59.9F	9.6
12.30	1477	59.9F	9.6
12.35	1477	59.9F	9.6
12.40	1477	59.9F	9.6
12.45	1476	59.9F	9.6
12.50	1474	59.9F	9.6
12.55	1474	59.9F	9.6
12.60	1475	59.9F	9.6
12.65	1472	59.9F	9.6
12.70	1471	59.9F	9.6
12.75	1471	59.9F	9.6
12.80	1470	59.9F	9.6
12.85	1468	59.9F	9.6
12.90	1466	59.9F	9.6
12.95	1465	59.9F	9.6
13.00	1464	59.9F	9.6
13.05	1466	59.9F	9.6
13.10	1462	59.9F	9.6
13.15	1463	59.9F	9.6
13.20	1461	59.9F	9.6
13.25	1457	60.0F	9.6
13.30	1459	59.9F	9.6
13.35	1461	60.0F	9.6
13.40	1459	59.9F	9.6
13.45	1457	59.9F	9.6
13.50	1456	60.0F	9.6
13.55	1455	60.0F	9.6
13.60	1450	60.0F	9.6
13.65	1451	60.0F	9.6
13.70	1451	60.0F	9.6
13.75	1451	60.0F	9.6
13.80	1448	60.0F	9.6
13.85	1447	60.0F	9.6
13.90	1447	60.0F	9.6
13.95	1444	60.0F	9.6
14.00	1443	60.0F	9.6
14.05	1441	60.0F	9.6
14.10	1439	60.0F	9.6
14.15	1441	60.0F	9.6
14.20	1439	59.9F	9.6
14.25	1436	60.0F	9.6
14.30	1437	60.0F	9.6
14.35	1435	60.0F	9.6
14.40	1435	60.0F	9.6
14.45	1437	60.0F	9.6
14.50	1438	60.0F	9.6
14.55	1433	60.0F	9.6
14.60	1430	60.0F	9.6
14.65	1429	60.0F	9.6
14.70	1426	60.0F	9.6
14.75	1425	60.0F	9.6
14.80	1425	60.0F	9.6
14.85	1423	60.0F	9.6
14.90	1423	60.0F	9.6
14.95	1422	60.0F	9.6
15.00	1422	60.0F	9.6
15.05	1421	60.0F	9.6
15.10	1419	60.0F	9.6
15.15	1416	60.0F	9.6
15.20	1414	60.0F	9.6
15.25	1414	60.0F	9.6
15.30	1411	60.0F	9.6
15.35	1411	60.0F	9.6
15.40	1410	60.0F	9.6
15.45	1411	60.0F	9.6
15.50	1408	60.0F	9.6
15.55	1408	60.0F	9.6
15.60	1407	60.0F	9.6
15.65	1407	60.0F	9.6
15.70	1405	60.0F	9.6
15.75	1405	60.0F	9.6
15.80	1401	60.0F	9.6
15.85	1402	60.0F	9.6
15.90	1401	60.0F	9.6
15.95	1399	60.0F	9.6
16.00	1398	60.0F	9.6
16.05	1397	60.0F	9.6
16.10	1396	60.0F	9.6
16.15	1395	60.0F	9.6
16.20	1393	60.0F	9.6
16.25	1392	60.0F	9.6
16.30	1392	60.0F	9.6
16.35	1391	60.0F	9.6
16.40	1391	60.0F	9.6
16.45	1387	60.0F	9.6
16.50	1387	60.0F	9.6
16.55	1387	60.0F	9.6
16.60	1383	60.0F	9.6
16.65	1382	60.0F	9.6
16.70	1382	60.0F	9.6
16.75	1382	60.0F	9.6
16.80	1382	60.0F	9.6
16.85	1381	60.0F	9.6
16.90	1379	60.0F	9.6
16.95	1377	60.0F	9.6
17.00	1375	60.0F	9.6
17.05	1374	60.0F	9.6
17.10	1372	60.0F	9.6
17.15	1373	60.0F	9.6
17.20	1370	60.0F	9.6
17.25	1368	60.0F	9.6
17.30	1369	60.0F	9.6
17.35	1366	60.0F	9.6
17.40	1366	60.0F	9.6
17.45	1366	60.0F	9.6
17.50	1365	60.0F	9.6
17.55	1363	60.0F	9.6
17.60	1363	60.0F	9.6
17.65	1360	60.0F	9.6
17.70	1361	60.0F	9.6
17.75	1358	60.0F	9.6
17.80	1357	60.0F	9.6
17.85	1355	60.0F	9.6
17.90	1355	60.0F	9.6
17.95	1355	60.0F	9.6
18.00	1353	60.0F	9.6
18.05	1352	60.0F	9.6
18.10	1352	60.0F	9.6
18.15	1350	60.0F	9.6
18.20	1350	60.0F	9.6
18.25	1350	60.0F	9.6
18.30	1347	60.0F	9.6
18.35	1346	60.0F	9.6
18.40	1346	60.0F	9.6
18.45	1343	60.0F	9.6
18.50	1342	60.0F	9.6
18.55	1342	60.0F	9.6
18.60	1339	60.0F	9.6
18.65	1340	60.0F	9.6
18.70	1337	60.0F	9.6
18.75	1339	60.0F	9.6
18.80	1340	60.0F	9.6
18.85	1335	60.0F	9.6
18.90	1335	60.0F	9.6
18.95	1334	60.0F	9.6
19.00	1333	60.0F	9.6
19.05	1330	60.0F	9.6
19.10	1333	60.0F	9.6
19.15	1332	60.0F	9.6
19.20	1331	60.0F	9.6
19.25	1329	60.0F	9.6
19.30	1328	60.0F	9.6
19.35	1324	60.0F	9.6
19.40	1325	60.0F	9.6
19.45	1323	60.0F	9.6
19.50	1321	60.0F	9.6
19.55	1318	60.0F	9.6
19.60	1316	60.0F	9.6
19.65	1317	60.0F	9.6
19.70	1315	60.0F	9.6
19.75	1312	60.0F	9.6
19.80	1313	60.0F	9.6
19.85	1313	60.0F	9.6
19.90	1312	60.0F	9.6
19.95	1309	60.0F	9.6
20.00	1309	60.0F	9.6
20.05	1308	60.0F	9.6
20.10	1305	60.0F	9.6
20.15	1303	60.0F	9.6
20.20	1303	60.0F	9.6
20.25	1302	60.0F	9.6
20.30	1302	60.0F	9.6
20.35	1300	60.0F	9.6
20.40	1300	60.0F	9.6
20.45	1301	60.0F	9.6
20.50	1300	60.0F	9.6
20.55	1298	60.0F	9.6
20.60	1296	60.0F	9.6
20.65	1296	60.0F	9.6
20.70	1294	60.0F	9.6
20.75	1292	60.0F	9.6
20.80	1294	60.0F	9.6
20.85	1292	60.0F	9.6
20.90	1290	60.0F	9.6
20.95	1289	60.0F	9.6
21.00	1287	60.0F	9.6
21.05	1285	60.0F	9.6
21.10	1287	60.0F	9.6
21.15	1286	60.0F	9.6
21.20	1283	60.0F	9.6
21.25	1283	60.0F	9.6
21.30	1281	60.0F	9.6
21.35	1280	60.0F	9.6
21.40	1278	60.0F	9.6
21.45	1275	60.0F	9.6
21.50	1276	60.0F	9.6
21.55	1275	60.0F	9.6
21.60	1272	60.0F	9.6
21.65	1274	60.0F	9.6
21.70	1273	60.0F	9.6
21.75	1271	60.0F	9.6
21.80	1270	60.0F	9.6
21.85	1267	60.0F	9.6
21.90	1267	60.0F	9.6
21.95	1266	60.0F	9.6
22.00	1265	60.0F	9.6
22.05	1264	60.0F	9.6
22.10	1262	60.0F	9.6
22.15	1260	60.0F	9.6
22.20	1258	60.0F	9.6
22.25	1260	60.0F	9.6
22.30	1259	60.0F	9.6
22.35	1258	60.0F	9.6
22.40	1256	60.0F	9.6
22.45	1257	60.0F	9.6
22.50	1255	60.0F	9.6
22.55	1252	60.0F	9.6
22.60	1252	60.0F	9.6
22.65	1251	60.0F	9.6
22.70	1249	60.0F	9.6
22.75	1247	60.0F	9.6
22.80	1246	60.0F	9.6
22.85	1246	60.0F	9.6
22.90	1248	60.0F	9.6
22.95	1246	60.0F	9.6
23.00	1245	60.0F	9.6
23.05	1244	60.0F	9.6
23.10	1242	60.0F	9.6
23.15	1241	60.0F	9.6
23.20	1240	60.0F	9.6
23.25	1239	60.0F	9.6
23.30	1238	60.0F	9.6
23.35	1237	60.0F	9.6
23.40	1235	60.0F	9.6
23.45	1237	60.0F	9.6
23.50	1235	60.0F	9.6
23.55	1232	60.0F	9.6
23.60	1230	60.0F	9.6
23.65	1229	60.0F	9.6
23.70	1229	60.0F	9.6
23.75	1227	60.0F	9.6
23.80	1225	60.0F	9.6
23.85	1224	60.0F	9.6
23.90	1223	60.0F	9.6
23.95	1221	60.0F	9.6
24.00	1221	60.0F	9.6
24.05	1219	60.0F	9.6
24.10	1220	60.0F	9.6
24.15	1217	60.0F	9.6
