Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-50-47-226,37.10132,-97.44032,387.88,26.85938,1.03516,-0.00391,-0.02344,,,,,1.54578,0.93152,-1.03772,1.25,-2.25,-0.625,-0.80273,1.2085,-2.04626,0,KD9ZMJ,-107,8.3125,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-291,37.10132,-97.44032,387.88,26.85938,1.03516,0.00391,-0.0625,,,,,1.54578,0.93152,-1.03772,1.25,-2.25,-0.625,-0.80273,1.2085,-2.04626,0,KD9ZMJ,-107,8.3125,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-358,37.10132,-97.44032,387.88,26.85938,1.05078,0.02734,-0.05859,,,,,1.54578,0.93152,-1.03772,1.25,-2.25,-0.625,-0.80273,1.2085,-2.04626,0,KD9ZMJ,-107,8.3125,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-422,37.10132,-97.44032,387.88,26.86719,1.02344,0.01172,-0.01563,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.8009,1.20593,-2.04395,0,KD9ZMJ,-107,8.125,,,1002.125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-486,37.10132,-97.44032,387.88,26.86719,1.01953,0.03125,-0.04297,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.8009,1.20593,-2.04395,0,KD9ZMJ,-107,8.125,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-551,37.10132,-97.44032,387.88,26.86719,1.01953,0,-0.03125,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.8009,1.20593,-2.04395,0,KD9ZMJ,-107,8.125,,,1002.1875,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-618,37.10132,-97.44032,387.88,26.86719,1.05078,-0.00391,-0.02344,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.8009,1.20593,-2.04395,0,KD9ZMJ,-107,8.125,,,1002.25,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-683,37.10132,-97.44032,387.88,26.85938,1.03906,0.01172,-0.05859,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.80176,1.20703,-2.04895,0,KD9ZMJ,-107,8.0625,,,1002.0625,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-746,37.10132,-97.44032,387.88,26.85938,1.03906,0,-0.0625,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.80176,1.20703,-2.04895,0,KD9ZMJ,-107,8.0625,,,1002.3125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-50-47-811,37.10132,-97.44032,387.88,26.85938,1.03906,0,-0.00781,,,,,1.54578,0.93152,-1.03772,1.375,-2.375,-0.625,-0.80176,1.20703,-2.04895,0,KD9ZMJ,-107,8.0625,,,1002.3125,0,1.875,1.01563,0,260,0,0,0,0,0,0,0,0,0,0
