timestamp_ms,flap_extension,state_apo
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
1945435,0.00000,-112.00
