9.05	1426	101.5F	9.1
9.10	1426	101.5F	9.1
9.15	1426	101.5F	9.1
9.20	1429	101.5F	9.1
9.25	1432	101.5F	9.1
9.30	1429	101.5F	9.1
9.35	1434	101.5F	9.1
9.40	1435	101.5F	9.1
9.45	1435	101.5F	9.1
9.50	1436	101.5F	9.1
9.55	1436	101.5F	9.1
9.60	1437	101.5F	9.1
9.65	1438	101.5F	9.1
9.70	1441	101.5F	9.1
9.75	1442	101.5F	9.1
9.80	1443	101.5F	9.1
9.85	1441	101.5F	9.1
9.90	1445	101.4F	9.1
9.95	1442	101.5F	9.1
10.00	1443	101.4F	9.1
10.05	1443	101.4F	9.1
10.10	1441	101.4F	9.1
10.15	1443	101.4F	9.1
10.20	1445	101.4F	9.1
10.25	1445	101.4F	9.1
10.30	1444	101.4F	9.1
10.35	1443	101.4F	9.1
10.40	1442	101.4F	9.1
10.45	1441	101.4F	9.1
10.50	1441	101.4F	9.1
10.55	1441	101.4F	9.1
10.60	1440	101.4F	9.1
10.65	1438	101.4F	9.1
10.70	1440	101.4F	9.1
10.75	1440	101.4F	9.1
10.80	1438	101.4F	9.1
10.85	1438	101.4F	9.1
10.90	1436	101.4F	9.1
10.95	1435	101.4F	9.1
11.00	1431	101.4F	9.1
11.05	1433	101.4F	9.1
11.10	1430	101.4F	9.1
11.15	1428	101.4F	9.1
11.20	1426	101.4F	9.1
11.25	1425	101.4F	9.1
11.30	1423	101.4F	9.1
11.35	1422	101.4F	9.1
11.40	1419	101.4F	9.1
11.45	1417	101.4F	9.1
11.50	1416	101.4F	9.1
11.55	1415	101.4F	9.1
11.60	1413	101.4F	9.1
11.65	1411	101.4F	9.1
11.70	1408	101.4F	9.1
11.75	1404	101.4F	9.1
11.80	1402	101.4F	9.1
11.85	1401	101.4F	9.1
11.90	1400	101.4F	9.1
11.95	1397	101.4F	9.1
12.00	1393	101.4F	9.1
12.05	1183	101.4F	8.9
12.10	1383	101.4F	8.8
12.15	1382	101.4F	9.0
12.20	1396	101.4F	9.1
12.25	1433	101.4F	9.1
12.30	1400	101.4F	9.1
12.35	1407	101.4F	9.1
12.40	1403	101.4F	9.1
12.45	1414	101.4F	9.1
12.50	1405	101.4F	9.1
12.55	1385	101.4F	9.1
12.60	1369	101.4F	9.1
12.65	1367	101.4F	9.1
12.70	1366	101.4F	9.1
12.75	1364	101.4F	9.1
12.80	1366	101.4F	9.1
12.85	1374	101.4F	9.1
12.90	1379	101.4F	9.1
12.95	1366	101.4F	9.1
13.00	1359	101.4F	9.1
13.05	1364	101.4F	9.1
13.10	1340	101.4F	9.1
13.15	1356	101.4F	9.1
13.20	1339	101.4F	9.1
13.25	1335	101.4F	9.1
13.30	1322	101.4F	9.1
13.35	1318	101.4F	9.1
13.40	1321	101.4F	9.1
13.45	1321	101.4F	9.1
13.50	1329	101.4F	9.1
13.55	1318	101.4F	9.1
13.60	1313	101.4F	9.1
13.65	1311	101.4F	9.1
13.70	1328	101.4F	9.1
13.75	1310	101.4F	9.1
13.80	1331	101.4F	9.1
13.85	1318	101.4F	9.1
13.90	1306	101.4F	9.1
13.95	1294	101.3F	9.1
14.00	1316	101.4F	9.1
14.05	1303	101.4F	9.1
14.10	1294	101.3F	9.1
14.15	1286	101.3F	9.1
14.20	1283	101.3F	9.1
14.25	1279	101.3F	9.1
14.30	1278	101.3F	9.1
14.35	1281	101.3F	9.1
14.40	1279	101.3F	9.1
14.45	1277	101.3F	9.1
14.50	1277	101.3F	9.1
14.55	1275	101.3F	9.1
14.60	1274	101.3F	9.1
14.65	1271	101.3F	9.1
14.70	1273	101.3F	9.1
14.75	1274	101.3F	9.1
14.80	1274	101.3F	9.1
14.85	1268	101.3F	9.1
14.90	1264	101.3F	9.1
14.95	1260	101.3F	9.1
15.00	1253	101.3F	9.1
15.05	1289	101.3F	9.1
